"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/12/2022","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","Point Of Sale Withdrawal PALMETTO ATHLETIC C803-x2090 SCUS","170.00","debit","Babysitter & Daycare","Joint Checking Account","",""
"11/11/2022","Chick-Fil-A","Point Of Sale Withdrawal CHICK-FIL-A #03138 803-356-1635 SCUS","34.05","debit","Entertainment","Joint Checking Account","",""
"11/11/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","10.95","debit","Groceries Costco","Joint Checking Account","",""
"11/11/2022","Costco","Point Of Sale Withdrawal COSTCO WHSE #1232 COLUMBIA SCUS","116.39","debit","Groceries Costco","Joint Checking Account","",""
"11/11/2022","Keen X Orus","Point Of Sale Withdrawal KEEN INC 165-x2055 ORUS","210.60","debit","Uncategorized","Joint Checking Account","",""
"11/10/2022","Processing... CFA MOBILEPAY ATLANTA GAUS (Pending)","Processing... CFA MOBILEPAY ATLANTA GAUS (Pending)","0.00","credit","Bills & Utilities","Joint Checking Account","",""
"11/10/2022","Deposit Internet Transfer from *9503 CK","Deposit Internet Transfer from *9503 CK","1595.00","credit","Transfer","Joint Checking Account","",""
"11/09/2022","Point Of Sale Withdrawal STARBUCKS STORE 029COLUMBIA SCUS","Point Of Sale Withdrawal STARBUCKS STORE 029COLUMBIA SCUS","11.99","debit","Coffee Shops","Joint Checking Account","",""
"11/09/2022","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","External Withdrawal PAYPAL INSTANT TRANSFER - INST XFER","5.34","debit","Transfer","Joint Checking Account","",""
"11/09/2022","Murphy Express","Point Of Sale Withdrawal MURPHY EXPRESS 4448 SUNSET BLVD LEXINGTON SCUS","34.36","debit","Gas & Fuel","Joint Checking Account","",""
"11/08/2022","Withdrawal Internet Transfer to *9503 CK","Withdrawal Internet Transfer to *9503 CK","140.00","debit","Transfer","Joint Checking Account","",""
"11/08/2022","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","External Withdrawal CAPITAL ONE AUTO - DIRECTPAY","452.11","debit","Auto Payment","Joint Checking Account","",""
"11/08/2022","External Withdrawal ATT - Payment","External Withdrawal ATT - Payment","290.28","debit","Home Phone","Joint Checking Account","",""
